product_id,product_category,product_name,product_price,scrapy_datetime,style_id,color_id,color_name,Fit,Composition,Size,Product safety
31,0985159001,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-07-11 12:14:42,0985159,001,Dark denim blue,Skinny fit,Pocket lining: Cotton 100%,,
32,0985159001,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-07-11 12:14:42,0985159,001,Black,Skinny fit,Pocket lining: Cotton 100%,"The model is 187cm/6'2"" and wears a size 31/32",
33,0985159001,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-07-11 12:14:42,0985159,001,Black,Skinny fit,"Shell: Cotton 99%, Elastane 1%","The model is 187cm/6'2"" and wears a size 31/32",
34,0985159001,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-07-11 12:14:42,0985159,001,Dark gray,Skinny fit,Pocket lining: Cotton 100%,"The model is 187cm/6'2"" and wears a size 31/32",
35,0985159001,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-07-11 12:14:42,0985159,001,Dark gray,Skinny fit,"Shell: Cotton 99%, Elastane 1%","The model is 187cm/6'2"" and wears a size 31/32",
36,0985159001,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-07-11 12:14:42,0985159,001,Light denim blue,Skinny fit,Pocket lining: Cotton 100%,"The model is 187cm/6'2"" and wears a size 31/32",
37,0985159001,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-07-11 12:14:42,0985159,001,Light denim blue,Skinny fit,"Shell: Cotton 99%, Elastane 1%","The model is 187cm/6'2"" and wears a size 31/32",
38,0985159001,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-07-11 12:14:42,0985159,001,Dark denim blue,Skinny fit,Pocket lining: Cotton 100%,"The model is 187cm/6'2"" and wears a size 31/32",
39,0985159001,men_jeans_skinny,Skinny Jeans,$ 19.99,2021-07-11 12:14:42,0985159,001,Dark denim blue,Skinny fit,"Shell: Cotton 99%, Elastane 1%","The model is 187cm/6'2"" and wears a size 31/32",
40,0985197001,men_jeans_slim,Slim Jeans,$ 19.99,2021-07-11 12:14:42,0985197,001,Midnight blue,Slim fit,Pocket lining: Cotton 100%,"The model is 189cm/6'2"" and wears a size 32/32",
41,0985197001,men_jeans_slim,Slim Jeans,$ 19.99,2021-07-11 12:14:42,0985197,001,Midnight blue,Slim fit,"Shell: Cotton 98%, Elastane 2%","The model is 189cm/6'2"" and wears a size 32/32",
42,0985197001,men_jeans_slim,Slim Jeans,$ 19.99,2021-07-11 12:14:42,0985197,001,Denim blue,Slim fit,Pocket lining: Cotton 100%,"The model is 189cm/6'2"" and wears a size 32/32",
43,0985197001,men_jeans_slim,Slim Jeans,$ 19.99,2021-07-11 12:14:42,0985197,001,Denim blue,Slim fit,"Shell: Cotton 98%, Elastane 2%","The model is 189cm/6'2"" and wears a size 32/32",
44,0985197001,men_jeans_slim,Slim Jeans,$ 19.99,2021-07-11 12:14:42,0985197,001,Light denim blue,Slim fit,Pocket lining: Cotton 100%,"The model is 189cm/6'2"" and wears a size 32/32",
45,0985197001,men_jeans_slim,Slim Jeans,$ 19.99,2021-07-11 12:14:42,0985197,001,Light denim blue,Slim fit,"Shell: Cotton 98%, Elastane 2%","The model is 189cm/6'2"" and wears a size 32/32",
46,0985197001,men_jeans_slim,Slim Jeans,$ 19.99,2021-07-11 12:14:42,0985197,001,Black,Slim fit,"Shell: Cotton 99%, Elastane 1%","The model is 182cm/6'0"" and wears a size 31/32",
47,0985197001,men_jeans_slim,Slim Jeans,$ 19.99,2021-07-11 12:14:42,0985197,001,Black,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%","The model is 182cm/6'0"" and wears a size 31/32",
48,0985197001,men_jeans_slim,Slim Jeans,$ 19.99,2021-07-11 12:14:42,0985197,001,Denim blue,Slim fit,"Shell: Cotton 99%, Elastane 1%","The model is 182cm/6'0"" and wears a size 31/32",
49,0985197001,men_jeans_slim,Slim Jeans,$ 19.99,2021-07-11 12:14:42,0985197,001,Denim blue,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%","The model is 182cm/6'0"" and wears a size 31/32",
50,0985197001,men_jeans_slim,Slim Jeans,$ 19.99,2021-07-11 12:14:42,0985197,001,Light denim blue,Slim fit,"Shell: Cotton 99%, Elastane 1%","The model is 182cm/6'0"" and wears a size 31/32",
51,0985197001,men_jeans_slim,Slim Jeans,$ 19.99,2021-07-11 12:14:42,0985197,001,Light denim blue,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%","The model is 182cm/6'0"" and wears a size 31/32",
52,0985197001,men_jeans_slim,Slim Jeans,$ 19.99,2021-07-11 12:14:42,0985197,001,Black,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%","The model is 182cm/6'0"" and wears a size 31/32",
53,0985197001,men_jeans_slim,Slim Jeans,$ 19.99,2021-07-11 12:14:42,0985197,001,Black,Slim fit,"Shell: Cotton 99%, Elastane 1%","The model is 182cm/6'0"" and wears a size 31/32",
54,0985197001,men_jeans_slim,Slim Jeans,$ 19.99,2021-07-11 12:14:42,0985197,001,Midnight blue,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%","The model is 182cm/6'0"" and wears a size 31/32",
55,0985197001,men_jeans_slim,Slim Jeans,$ 19.99,2021-07-11 12:14:42,0985197,001,Midnight blue,Slim fit,"Shell: Cotton 99%, Elastane 1%","The model is 182cm/6'0"" and wears a size 31/32",
56,0985197001,men_jeans_slim,Slim Jeans,$ 19.99,2021-07-11 12:14:42,0985197,001,Light denim blue,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%","The model is 182cm/6'0"" and wears a size 31/32",
57,0985197001,men_jeans_slim,Slim Jeans,$ 19.99,2021-07-11 12:14:42,0985197,001,Light denim blue,Slim fit,"Shell: Cotton 99%, Elastane 1%","The model is 182cm/6'0"" and wears a size 31/32",
58,0985197001,men_jeans_slim,Slim Jeans,$ 19.99,2021-07-11 12:14:42,0985197,001,Black,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%","The model is 187cm/6'2"" and wears a size 31/32",
59,0985197001,men_jeans_slim,Slim Jeans,$ 19.99,2021-07-11 12:14:42,0985197,001,Black,Slim fit,"Shell: Cotton 99%, Elastane 1%","The model is 187cm/6'2"" and wears a size 31/32",
60,0985197001,men_jeans_slim,Slim Jeans,$ 19.99,2021-07-11 12:14:42,0985197,001,Midnight blue,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%","The model is 187cm/6'2"" and wears a size 31/32",
61,0985197001,men_jeans_slim,Slim Jeans,$ 19.99,2021-07-11 12:14:42,0985197,001,Midnight blue,Slim fit,"Shell: Cotton 99%, Elastane 1%","The model is 187cm/6'2"" and wears a size 31/32",
62,0985197001,men_jeans_slim,Slim Jeans,$ 19.99,2021-07-11 12:14:42,0985197,001,Denim blue,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%","The model is 187cm/6'2"" and wears a size 31/32",
63,0985197001,men_jeans_slim,Slim Jeans,$ 19.99,2021-07-11 12:14:42,0985197,001,Denim blue,Slim fit,"Shell: Cotton 99%, Elastane 1%","The model is 187cm/6'2"" and wears a size 31/32",
64,0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2021-07-11 12:14:42,0690449,022,Light denim blue/trashed,Skinny fit,Lining: Polyester 100%,"The model is 184cm/6'0"" and wears a size 31/32",
65,0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2021-07-11 12:14:42,0690449,022,Light denim blue/trashed,Skinny fit,"Cotton 98%, Elastane 2%","The model is 184cm/6'0"" and wears a size 31/32",
66,0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2021-07-11 12:14:42,0690449,022,Denim blue,Skinny fit,Lining: Polyester 100%,"The model is 184cm/6'0"" and wears a size 31/32",
67,0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2021-07-11 12:14:42,0690449,022,Denim blue,Skinny fit,"Cotton 98%, Elastane 2%","The model is 184cm/6'0"" and wears a size 31/32",
68,0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2021-07-11 12:14:42,0690449,022,Black/washed,Skinny fit,Lining: Polyester 100%,"The model is 184cm/6'0"" and wears a size 31/32",
69,0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2021-07-11 12:14:42,0690449,022,Black/washed,Skinny fit,"Cotton 98%, Elastane 2%","The model is 184cm/6'0"" and wears a size 31/32",
